id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Oda;Medhurst;Misty94@yahoo.com;um dreamer hector;2024-01-30T01:48:51;14837;25923
2;Alyson;Sanford;Godfrey_Rice@gmail.com;ounce;2024-01-29T17:19:58;22884;11440
3;Gisselle;Emard;Justice.Pfannerstill@hotmail.com;into gradient;2024-01-30T05:49:34;17871;21320
4;Heidi;VonRueden;Antonetta_Bradtke@gmail.com;badly;2024-01-29T10:31:57;15516;27325
5;Jeromy;Orn;Thalia_Jaskolski46@hotmail.com;triumphantly;2024-01-30T03:14:49;6917;26738
6;Joany;Lakin;Aleen89@gmail.com;unlike;2024-01-29T21:10:49;24996;26054
7;Eleanore;Cummings;Jackson94@hotmail.com;remortgage debut;2024-01-30T05:15:32;480;7990
8;Mason;Barrows;Talia.Gleason38@hotmail.com;and acquire;2024-01-30T02:51:50;25891;22733
9;Nickolas;Schuster;Earnest78@hotmail.com;considering canst;2024-01-30T07:57:44;13024;20205
10;Braden;Keebler;Lonny.Anderson@yahoo.com;whose;2024-01-29T19:40:56;13479;13155
